"","Date","NZU","EUA","KAU","CEA","HBEA","ACCU","UKA","WCA","CCA"
"1050",2011-03-01,10.180811207037,14.95,NA,NA,NA,NA,NA,NA,NA
"1051",2011-03-02,10.0638720412216,15.1,NA,NA,NA,NA,NA,NA,NA
"1052",2011-03-03,9.95487125033183,14.85,NA,NA,NA,NA,NA,NA,NA
"1053",2011-03-04,10.5691486550758,15.44,NA,NA,NA,NA,NA,NA,NA
"1054",2011-03-07,10.6018249907696,14.9,NA,NA,NA,NA,NA,NA,NA
"1055",2011-03-08,10.6983180753673,14.9,NA,NA,NA,NA,NA,NA,NA
"1056",2011-03-09,10.6670912275115,14.9,NA,NA,NA,NA,NA,NA,NA
"1057",2011-03-10,10.7142857142857,15.43,NA,NA,NA,NA,NA,NA,NA
"1058",2011-03-11,10.7100781835707,15.42,NA,NA,NA,NA,NA,NA,NA
"1059",2011-03-14,10.571639898563,15.03,NA,NA,NA,NA,NA,NA,NA
"1060",2011-03-15,10.4594636976635,16.3,NA,NA,NA,NA,NA,NA,NA
"1061",2011-03-16,10.3775541956229,16.4,NA,NA,NA,NA,NA,NA,NA
"1062",2011-03-17,10.8260646485377,16.23,NA,NA,NA,NA,NA,NA,NA
"1063",2011-03-18,10.8931337119257,16.1,NA,NA,NA,NA,NA,NA,NA
"1064",2011-03-21,10.9275467398622,16.1,NA,NA,NA,NA,NA,NA,NA
"1065",2011-03-22,11.0286431110182,16.1,NA,NA,NA,NA,NA,NA,NA
"1066",2011-03-23,11.104678701121,16.25,NA,NA,NA,NA,NA,NA,NA
"1067",2011-03-24,11.160478155083,16.05,NA,NA,NA,NA,NA,NA,NA
"1068",2011-03-25,11.2894596040663,16.4,NA,NA,NA,NA,NA,NA,NA
"1069",2011-03-28,11.2593383137673,16.55,NA,NA,NA,NA,NA,NA,NA
"1070",2011-03-29,11.3349449368789,16.4,NA,NA,NA,NA,NA,NA,NA
"1071",2011-03-30,11.3943190409331,16.2,NA,NA,NA,NA,NA,NA,NA
"1072",2011-03-31,11.345305946876,16.45,NA,NA,NA,NA,NA,NA,NA
"1073",2011-04-01,11.38509685426,16.83,NA,NA,NA,NA,NA,NA,NA
"1074",2011-04-04,11.4103396063162,16.59,NA,NA,NA,NA,NA,NA,NA
"1075",2011-04-05,10.9212802768166,16.28,NA,NA,NA,NA,NA,NA,NA
"1076",2011-04-06,10.9854252773548,16.43,NA,NA,NA,NA,NA,NA,NA
"1077",2011-04-07,11.0099743827329,16.45,NA,NA,NA,NA,NA,NA,NA
"1078",2011-04-08,10.9313274527842,16.43,NA,NA,NA,NA,NA,NA,NA
"1079",2011-04-11,10.9408005199588,16.18,NA,NA,NA,NA,NA,NA,NA
"1080",2011-04-12,11.0527171262935,16.15,NA,NA,NA,NA,NA,NA,NA
"1081",2011-04-13,11.1566858080394,16.03,NA,NA,NA,NA,NA,NA,NA
"1082",2011-04-14,11.1897317755471,16.1,NA,NA,NA,NA,NA,NA,NA
"1083",2011-04-15,11.3063237820762,16.45,NA,NA,NA,NA,NA,NA,NA
"1084",2011-04-18,11.2531258682967,16.17,NA,NA,NA,NA,NA,NA,NA
"1085",2011-04-19,11.1429043085897,16.11,NA,NA,NA,NA,NA,NA,NA
"1086",2011-04-20,11.1184318893098,16.2,NA,NA,NA,NA,NA,NA,NA
"1087",2011-04-21,11.199779856907,16.21,NA,NA,NA,NA,NA,NA,NA
"1088",2011-04-26,11.2183020948181,16.1,NA,NA,NA,NA,NA,NA,NA
"1089",2011-04-27,11.0176390773406,16.23,NA,NA,NA,NA,NA,NA,NA
"1090",2011-04-28,10.9943674176776,16.49,NA,NA,NA,NA,NA,NA,NA
"1091",2011-04-29,11.1214594861119,16.39,NA,NA,NA,NA,NA,NA,NA
"1092",2011-05-02,11.1582843457435,16.5,NA,NA,NA,NA,NA,NA,NA
"1093",2011-05-03,11.0530004852537,16.7,NA,NA,NA,NA,NA,NA,NA
"1094",2011-05-04,10.9409190371991,16.73,NA,NA,NA,NA,NA,NA,NA
"1095",2011-05-05,11.0625438454482,16.69,NA,NA,NA,NA,NA,NA,NA
"1096",2011-05-06,11.250414227328,16.45,NA,NA,NA,NA,NA,NA,NA
"1097",2011-05-09,11.2934523479514,16.6,NA,NA,NA,NA,NA,NA,NA
"1098",2011-05-10,11.2030905077263,16.59,NA,NA,NA,NA,NA,NA,NA
"1099",2011-05-11,11.0709318497914,16.57,NA,NA,NA,NA,NA,NA,NA
"1100",2011-05-12,11.3109534714852,16.41,NA,NA,NA,NA,NA,NA,NA
"1101",2011-05-13,11.2977014059362,16.46,NA,NA,NA,NA,NA,NA,NA
"1102",2011-05-16,11.177347242921,16.4,NA,NA,NA,NA,NA,NA,NA
"1103",2011-05-17,11.1521092631347,16.43,NA,NA,NA,NA,NA,NA,NA
"1104",2011-05-18,11.1141906873614,16.17,NA,NA,NA,NA,NA,NA,NA
"1105",2011-05-19,11.127719647899,16.18,NA,NA,NA,NA,NA,NA,NA
"1106",2011-05-20,11.3118352186392,16.03,NA,NA,NA,NA,NA,NA,NA
"1107",2011-05-23,11.3048368953881,15.88,NA,NA,NA,NA,NA,NA,NA
"1108",2011-05-24,11.3803646246178,15.98,NA,NA,NA,NA,NA,NA,NA
"1109",2011-05-25,11.3990812680769,15.85,NA,NA,NA,NA,NA,NA,NA
"1110",2011-05-26,11.3475991050427,16.02,NA,NA,NA,NA,NA,NA,NA
"1111",2011-05-27,11.3779662959991,16.41,NA,NA,NA,NA,NA,NA,NA
"1112",2011-05-30,11.3577845167935,16.83,NA,NA,NA,NA,NA,NA,NA
"1113",2011-05-31,11.3597344626302,16.84,NA,NA,NA,NA,NA,NA,NA
"1114",2011-06-01,11.2809729483974,16.63,NA,NA,NA,NA,NA,NA,NA
"1115",2011-06-02,11.1906641109482,NA,NA,NA,NA,NA,NA,NA,NA
"1116",2011-06-03,11.0807189907335,16.51,NA,NA,NA,NA,NA,NA,NA
"1117",2011-06-06,NA,16.45,NA,NA,NA,NA,NA,NA,NA
"1118",2011-06-07,11.1042738867756,16.38,NA,NA,NA,NA,NA,NA,NA
"1119",2011-06-08,11.1856192944889,16.22,NA,NA,NA,NA,NA,NA,NA
"1120",2011-06-09,11.2899556364464,16.37,NA,NA,NA,NA,NA,NA,NA
"1121",2011-06-10,11.3857978662384,16.31,NA,NA,NA,NA,NA,NA,NA
"1122",2011-06-13,11.2528344671202,NA,NA,NA,NA,NA,NA,NA,NA
"1123",2011-06-14,11.2534724190714,16.15,NA,NA,NA,NA,NA,NA,NA
"1124",2011-06-15,11.2861041619286,16.03,NA,NA,NA,NA,NA,NA,NA
"1125",2011-06-16,11.2649679359855,15.83,NA,NA,NA,NA,NA,NA,NA
"1126",2011-06-17,11.2822553143117,15.34,NA,NA,NA,NA,NA,NA,NA
"1127",2011-06-20,11.0425278894615,14.98,NA,NA,NA,NA,NA,NA,NA
"1128",2011-06-21,10.8597540336229,14.54,NA,NA,NA,NA,NA,NA,NA
"1129",2011-06-22,10.9393646644314,14.53,NA,NA,NA,NA,NA,NA,NA
"1130",2011-06-23,11.000628607349,13.25,NA,NA,NA,NA,NA,NA,NA
"1131",2011-06-24,11.0226752175905,12.35,NA,NA,NA,NA,NA,NA,NA
"1132",2011-06-27,10.1433732219463,12.82,NA,NA,NA,NA,NA,NA,NA
"1133",2011-06-28,10.4178462235307,13.36,NA,NA,NA,NA,NA,NA,NA
"1134",2011-06-29,10.7320702879057,13.03,NA,NA,NA,NA,NA,NA,NA
"1135",2011-06-30,10.731456043956,13.3,NA,NA,NA,NA,NA,NA,NA
"1136",2011-07-01,10.6959498003423,13.13,NA,NA,NA,NA,NA,NA,NA
"1137",2011-07-04,10.7087783425667,13.17,NA,NA,NA,NA,NA,NA,NA
"1138",2011-07-05,10.7369867720323,13.4,NA,NA,NA,NA,NA,NA,NA
"1139",2011-07-06,10.6690568438096,13.08,NA,NA,NA,NA,NA,NA,NA
"1140",2011-07-07,10.5684919574938,12.87,NA,NA,NA,NA,NA,NA,NA
"1141",2011-07-08,10.6970729987069,12.5,NA,NA,NA,NA,NA,NA,NA
"1142",2011-07-11,10.7520529331837,11.89,NA,NA,NA,NA,NA,NA,NA
"1143",2011-07-12,10.6021555763824,12.24,NA,NA,NA,NA,NA,NA,NA
"1144",2011-07-13,10.7227488151659,11.84,NA,NA,NA,NA,NA,NA,NA
"1145",2011-07-14,10.7950140156259,12.15,NA,NA,NA,NA,NA,NA,NA
"1146",2011-07-15,10.8182415874724,12.27,NA,NA,NA,NA,NA,NA,NA
"1147",2011-07-18,10.0029949086553,12.04,NA,NA,NA,NA,NA,NA,NA
"1148",2011-07-19,10.1071234037402,12.18,NA,NA,NA,NA,NA,NA,NA
"1149",2011-07-20,10.0162915585591,12.56,NA,NA,NA,NA,NA,NA,NA
"1150",2011-07-21,9.94547959978432,12.92,NA,NA,NA,NA,NA,NA,NA
"1151",2011-07-22,10.0162915585591,12.78,NA,NA,NA,NA,NA,NA,NA
"1152",2011-07-25,9.99037072701011,12.74,NA,NA,NA,NA,NA,NA,NA
"1153",2011-07-26,9.95442552170785,12.68,NA,NA,NA,NA,NA,NA,NA
"1154",2011-07-27,10.0593867410011,12.25,NA,NA,NA,NA,NA,NA,NA
"1155",2011-07-28,10.1034692635423,12.33,NA,NA,NA,NA,NA,NA,NA
"1156",2011-07-29,10.1442190173552,12.09,NA,NA,NA,NA,NA,NA,NA
"1157",2011-08-01,9.65619041761486,11.9,NA,NA,NA,NA,NA,NA,NA
"1158",2011-08-02,9.20563311589343,11.55,NA,NA,NA,NA,NA,NA,NA
"1159",2011-08-03,8.80950944307005,11.24,NA,NA,NA,NA,NA,NA,NA
"1160",2011-08-04,8.64826442364649,11.17,NA,NA,NA,NA,NA,NA,NA
"1161",2011-08-05,8.16326530612245,10.76,NA,NA,NA,NA,NA,NA,NA
"1162",2011-08-08,7.99768183135323,10.57,NA,NA,NA,NA,NA,NA,NA
"1163",2011-08-09,8.05651234748088,11.22,NA,NA,NA,NA,NA,NA,NA
"1164",2011-08-10,7.90604411343455,11.43,NA,NA,NA,NA,NA,NA,NA
"1165",2011-08-11,8.20198482194979,12.1,NA,NA,NA,NA,NA,NA,NA
"1166",2011-08-12,8.21973907447493,12.28,NA,NA,NA,NA,NA,NA,NA
"1167",2011-08-15,8.10265282583622,12.34,NA,NA,NA,NA,NA,NA,NA
"1168",2011-08-16,8.76073334880483,12.19,NA,NA,NA,NA,NA,NA,NA
"1169",2011-08-17,8.76785506909767,12.64,NA,NA,NA,NA,NA,NA,NA
"1170",2011-08-18,8.75531059823171,12.18,NA,NA,NA,NA,NA,NA,NA
"1171",2011-08-19,8.67561724883377,12.32,NA,NA,NA,NA,NA,NA,NA
"1172",2011-08-22,8.78603422533594,12.4,NA,NA,NA,NA,NA,NA,NA
"1173",2011-08-23,8.85929357266937,12.7,NA,NA,NA,NA,NA,NA,NA
"1174",2011-08-24,8.80778308675379,13.02,NA,NA,NA,NA,NA,NA,NA
"1175",2011-08-25,9.41278065630397,12.84,NA,NA,NA,NA,NA,NA,NA
"1176",2011-08-26,9.48926291352292,13.02,NA,NA,NA,NA,NA,NA,NA
"1177",2011-08-29,9.53519566104858,13.05,NA,NA,NA,NA,NA,NA,NA
"1178",2011-08-30,9.66312056737589,13.25,NA,NA,NA,NA,NA,NA,NA
"1179",2011-08-31,9.59881129271917,12.81,NA,NA,NA,NA,NA,NA,NA
"1180",2011-09-01,9.65447154471545,12.71,NA,NA,NA,NA,NA,NA,NA
"1181",2011-09-02,9.64582213462342,12.42,NA,NA,NA,NA,NA,NA,NA
"1182",2011-09-05,9.54153373508212,12.26,NA,NA,NA,NA,NA,NA,NA
"1183",2011-09-06,9.5139911634757,12.04,NA,NA,NA,NA,NA,NA,NA
"1184",2011-09-07,9.5488677348785,12.29,NA,NA,NA,NA,NA,NA,NA
"1185",2011-09-08,9.67065868263473,12.15,NA,NA,NA,NA,NA,NA,NA
"1186",2011-09-09,9.73067421823221,11.76,NA,NA,NA,NA,NA,NA,NA
"1187",2011-09-12,9.75595022351093,11.76,NA,NA,NA,NA,NA,NA,NA
"1188",2011-09-13,8.76031067493528,11.89,NA,NA,NA,NA,NA,NA,NA
"1189",2011-09-14,8.67620751341682,12.06,NA,NA,NA,NA,NA,NA,NA
"1190",2011-09-15,8.64116878489132,12.23,NA,NA,NA,NA,NA,NA,NA
"1191",2011-09-16,9.16741809437932,12.01,NA,NA,NA,NA,NA,NA,NA
"1192",2011-09-19,9.19505577328912,11.7,NA,NA,NA,NA,NA,NA,NA
"1193",2011-09-20,9.16576511599952,11.78,NA,NA,NA,NA,NA,NA,NA
"1194",2011-09-21,9.01833234772324,11.69,NA,NA,NA,NA,NA,NA,NA
"1195",2011-09-22,8.83801796580701,11.24,NA,NA,NA,NA,NA,NA,NA
"1196",2011-09-23,8.7774835961782,11.3,NA,NA,NA,NA,NA,NA,NA
"1197",2011-09-26,8.80840986541905,10.75,NA,NA,NA,NA,NA,NA,NA
"1198",2011-09-27,8.86164216398396,10.71,NA,NA,NA,NA,NA,NA,NA
"1199",2011-09-28,8.74777720415304,10.39,NA,NA,NA,NA,NA,NA,NA
"1200",2011-09-29,8.00363285462905,10.81,NA,NA,NA,NA,NA,NA,NA
"1201",2011-09-30,8.02093406905967,10.61,NA,NA,NA,NA,NA,NA,NA
"1202",2011-10-03,8.05760329161666,NA,NA,NA,NA,NA,NA,NA,NA
"1203",2011-10-04,8.04564907275321,10.03,NA,NA,NA,NA,NA,NA,NA
"1204",2011-10-05,8.11931360128988,10.12,NA,NA,NA,NA,NA,NA,NA
"1205",2011-10-06,8.10298258720763,10.4,NA,NA,NA,NA,NA,NA,NA
"1206",2011-10-07,8.11557499712214,10.37,NA,NA,NA,NA,NA,NA,NA
"1207",2011-10-10,7.67859197055102,10.64,NA,NA,NA,NA,NA,NA,NA
"1208",2011-10-11,7.63904783703365,10.6,NA,NA,NA,NA,NA,NA,NA
"1209",2011-10-12,7.71096863628487,10.63,NA,NA,NA,NA,NA,NA,NA
"1210",2011-10-13,7.70651734687987,10.21,NA,NA,NA,NA,NA,NA,NA
"1211",2011-10-14,7.75711795467751,10.32,NA,NA,NA,NA,NA,NA,NA
"1212",2011-10-17,7.69985004037374,10.27,NA,NA,NA,NA,NA,NA,NA
"1213",2011-10-18,7.73913043478261,10.22,NA,NA,NA,NA,NA,NA,NA
"1214",2011-10-19,7.69807403990313,9.95,NA,NA,NA,NA,NA,NA,NA
"1215",2011-10-20,7.69718634686347,10.11,NA,NA,NA,NA,NA,NA,NA
"1216",2011-10-21,7.71899392888118,10.3,NA,NA,NA,NA,NA,NA,NA
"1217",2011-10-24,NA,10.45,NA,NA,NA,NA,NA,NA,NA
"1218",2011-10-25,7.65613350920456,10.34,NA,NA,NA,NA,NA,NA,NA
"1219",2011-10-26,7.70073834794647,10.06,NA,NA,NA,NA,NA,NA,NA
"1220",2011-10-27,7.75216305673306,10.35,NA,NA,NA,NA,NA,NA,NA
"1221",2011-10-28,7.75036284470247,10.34,NA,NA,NA,NA,NA,NA,NA
"1222",2011-10-31,7.78471047874512,10.11,NA,NA,NA,NA,NA,NA,NA
"1223",2011-11-01,7.76207919065062,9.84,NA,NA,NA,NA,NA,NA,NA
"1224",2011-11-02,7.69718634686347,9.45,NA,NA,NA,NA,NA,NA,NA
"1225",2011-11-03,7.68699257211954,9.63,NA,NA,NA,NA,NA,NA,NA
"1226",2011-11-04,7.69452449567723,9.36,NA,NA,NA,NA,NA,NA,NA
"1227",2011-11-07,7.72435341086617,9.74,NA,NA,NA,NA,NA,NA,NA
"1228",2011-11-08,7.68608414239482,10.03,NA,NA,NA,NA,NA,NA,NA
"1229",2011-11-09,7.86218059891317,9.83,NA,NA,NA,NA,NA,NA,NA
"1230",2011-11-10,7.65758043316761,9.68,NA,NA,NA,NA,NA,NA,NA
"1231",2011-11-11,7.66283524904215,10.07,NA,NA,NA,NA,NA,NA,NA
"1232",2011-11-14,7.67248783280847,10.03,NA,NA,NA,NA,NA,NA,NA
"1233",2011-11-15,7.64403879064461,10.05,NA,NA,NA,NA,NA,NA,NA
"1234",2011-11-16,7.62186451282635,9.84,NA,NA,NA,NA,NA,NA,NA
"1235",2011-11-17,7.55568085706231,9.64,NA,NA,NA,NA,NA,NA,NA
"1236",2011-11-18,7.50363982528839,9.31,NA,NA,NA,NA,NA,NA,NA
"1237",2011-11-21,7.41889048831802,8.88,NA,NA,NA,NA,NA,NA,NA
"1238",2011-11-22,7.41560597675706,9.07,NA,NA,NA,NA,NA,NA,NA
"1239",2011-11-23,7.24275724275724,8.43,NA,NA,NA,NA,NA,NA,NA
"1240",2011-11-24,7.25403001667593,7.86,NA,NA,NA,NA,NA,NA,NA
"1241",2011-11-25,6.28702358332402,7.72,NA,NA,NA,NA,NA,NA,NA
"1242",2011-11-28,6.38189244383935,7.96,NA,NA,NA,NA,NA,NA,NA
"1243",2011-11-29,6.44773039889959,7.86,NA,NA,NA,NA,NA,NA,NA
"1244",2011-11-30,6.54374127501163,8.31,NA,NA,NA,NA,NA,NA,NA
"1245",2011-12-01,6.50778041302713,7.97,NA,NA,NA,NA,NA,NA,NA
"1246",2011-12-02,6.53651734355935,7.8,NA,NA,NA,NA,NA,NA,NA
"1247",2011-12-05,6.55288909599254,7.4,NA,NA,NA,NA,NA,NA,NA
"1248",2011-12-06,6.55632612623113,7.4,NA,NA,NA,NA,NA,NA,NA
"1249",2011-12-07,5.76620653503407,7.18,NA,NA,NA,NA,NA,NA,NA
"1250",2011-12-08,5.73314801945796,7.66,NA,NA,NA,NA,NA,NA,NA
"1251",2011-12-09,5.74846127046801,7.81,NA,NA,NA,NA,NA,NA,NA
"1252",2011-12-12,5.72750940121493,7.5,NA,NA,NA,NA,NA,NA,NA
"1253",2011-12-13,5.75614861329147,7.05,NA,NA,NA,NA,NA,NA,NA
"1254",2011-12-14,5.73215216258468,6.5,NA,NA,NA,NA,NA,NA,NA
"1255",2011-12-15,5.72850364541141,6.78,NA,NA,NA,NA,NA,NA,NA
"1256",2011-12-16,4.72633912942,6.8,NA,NA,NA,NA,NA,NA,NA
"1257",2011-12-19,4.71615720524017,7.05,NA,NA,NA,NA,NA,NA,NA
"1258",2011-12-20,4.76947535771065,8.5,NA,NA,NA,NA,NA,NA,NA
"1259",2011-12-21,5.60869051836108,7.96,NA,NA,NA,NA,NA,NA,NA
"1260",2011-12-22,5.62696203281407,7.66,NA,NA,NA,NA,NA,NA,NA
"1261",2011-12-23,5.63999050106863,7.67,NA,NA,NA,NA,NA,NA,NA
"1262",2011-12-27,NA,7.75,NA,NA,NA,NA,NA,NA,NA
"1263",2011-12-28,5.64870971578071,7.39,NA,NA,NA,NA,NA,NA,NA
"1264",2011-12-29,5.65442533182549,6.9,NA,NA,NA,NA,NA,NA,NA
"1265",2011-12-30,5.71806909835079,6.76,NA,NA,NA,NA,NA,NA,NA
"1266",2012-01-02,NA,6.76,NA,NA,NA,NA,NA,NA,NA
"1267",2012-01-03,NA,6.26,NA,NA,NA,NA,NA,NA,NA
"1268",2012-01-04,5.78280983686389,6.23,NA,NA,NA,NA,NA,NA,NA
"1269",2012-01-05,5.80400782013685,6.5,NA,NA,NA,NA,NA,NA,NA
"1270",2012-01-06,4.30054678380537,6.29,NA,NA,NA,NA,NA,NA,NA
"1271",2012-01-09,4.32098765432099,6.4,NA,NA,NA,NA,NA,NA,NA
"1272",2012-01-10,4.35729847494553,6.84,NA,NA,NA,NA,NA,NA,NA
"1273",2012-01-11,4.39808997235486,6.77,NA,NA,NA,NA,NA,NA,NA
"1274",2012-01-12,4.34108527131783,6.9,NA,NA,NA,NA,NA,NA,NA
"1275",2012-01-13,4.38129811604181,6.73,NA,NA,NA,NA,NA,NA,NA
"1276",2012-01-16,4.38678949677258,6.46,NA,NA,NA,NA,NA,NA,NA
"1277",2012-01-17,4.40306956849918,6.47,NA,NA,NA,NA,NA,NA,NA
"1278",2012-01-18,4.35302258287727,6.59,NA,NA,NA,NA,NA,NA,NA
"1279",2012-01-19,4.2906746031746,7.06,NA,NA,NA,NA,NA,NA,NA
"1280",2012-01-20,4.3142144638404,7.01,NA,NA,NA,NA,NA,NA,NA
"1281",2012-01-23,NA,6.87,NA,NA,NA,NA,NA,NA,NA
"1282",2012-01-24,4.30911015629865,7.35,NA,NA,NA,NA,NA,NA,NA
"1283",2012-01-25,4.31852221667499,7.38,NA,NA,NA,NA,NA,NA,NA
"1284",2012-01-26,4.32987110499312,7.42,NA,NA,NA,NA,NA,NA,NA
"1285",2012-01-27,4.6836944982202,7.87,NA,NA,NA,NA,NA,NA,NA
"1286",2012-01-30,NA,7.67,NA,NA,NA,NA,NA,NA,NA
"1287",2012-01-31,4.73275698870449,7.82,NA,NA,NA,NA,NA,NA,NA
"1288",2012-02-01,4.74803747784249,8.25,NA,NA,NA,NA,NA,NA,NA
"1289",2012-02-02,4.75496100931972,8.53,NA,NA,NA,NA,NA,NA,NA
"1290",2012-02-03,5.28191421662212,8.3,NA,NA,NA,NA,NA,NA,NA
"1291",2012-02-06,NA,8.5,NA,NA,NA,NA,NA,NA,NA
"1292",2012-02-07,5.22900522900523,8.53,NA,NA,NA,NA,NA,NA,NA
"1293",2012-02-08,5.22735860939665,8.14,NA,NA,NA,NA,NA,NA,NA
"1294",2012-02-09,5.20931400238499,7.83,NA,NA,NA,NA,NA,NA,NA
"1295",2012-02-10,5.20931400238499,7.72,NA,NA,NA,NA,NA,NA,NA
"1296",2012-02-13,4.68176641781602,7.45,NA,NA,NA,NA,NA,NA,NA
"1297",2012-02-14,4.69751793309211,7.89,NA,NA,NA,NA,NA,NA,NA
"1298",2012-02-15,4.72632049562496,8.15,NA,NA,NA,NA,NA,NA,NA
"1299",2012-02-16,4.69483568075117,8.79,NA,NA,NA,NA,NA,NA,NA
"1300",2012-02-17,5.10430537061696,9.05,NA,NA,NA,NA,NA,NA,NA
"1301",2012-02-20,5.10430537061696,8.53,NA,NA,NA,NA,NA,NA,NA
"1302",2012-02-21,5.07694248234107,8.97,NA,NA,NA,NA,NA,NA,NA
"1303",2012-02-22,5.04512409125094,8.94,NA,NA,NA,NA,NA,NA,NA
"1304",2012-02-23,5.03691653109748,8.63,NA,NA,NA,NA,NA,NA,NA
"1305",2012-02-24,5.00155327741535,9.19,NA,NA,NA,NA,NA,NA,NA
"1306",2012-02-27,5.04828797190518,9.31,NA,NA,NA,NA,NA,NA,NA
"1307",2012-02-28,5.35125381121274,8.84,NA,NA,NA,NA,NA,NA,NA
"1308",2012-02-29,5.3827376854228,8.33,NA,NA,NA,NA,NA,NA,NA
"1309",2012-03-01,4.88404335770103,8.64,NA,NA,NA,NA,NA,NA,NA
"1310",2012-03-02,4.99717141240807,8.83,NA,NA,NA,NA,NA,NA,NA
"1311",2012-03-05,4.94341499813456,8.64,NA,NA,NA,NA,NA,NA,NA
"1312",2012-03-06,4.92656627625953,8.31,NA,NA,NA,NA,NA,NA,NA
"1313",2012-03-07,4.93512943075299,8.36,NA,NA,NA,NA,NA,NA,NA
"1314",2012-03-08,4.84652665589661,8.22,NA,NA,NA,NA,NA,NA,NA
"1315",2012-03-09,4.89028213166144,7.88,NA,NA,NA,NA,NA,NA,NA
"1316",2012-03-12,4.85497323540396,7.64,NA,NA,NA,NA,NA,NA,NA
"1317",2012-03-13,4.90936555891239,7.6,NA,NA,NA,NA,NA,NA,NA
"1318",2012-03-14,4.84773151025482,7.9,NA,NA,NA,NA,NA,NA,NA
"1319",2012-03-15,4.88568744127779,7.65,NA,NA,NA,NA,NA,NA,NA
"1320",2012-03-16,4.63878803054964,7.59,NA,NA,NA,NA,NA,NA,NA
"1321",2012-03-19,4.62633451957295,7.59,NA,NA,NA,NA,NA,NA,NA
"1322",2012-03-20,4.57887907062967,7.17,NA,NA,NA,NA,NA,NA,NA
"1323",2012-03-21,4.59990121017535,7.29,NA,NA,NA,NA,NA,NA,NA
"1324",2012-03-22,4.85079209136682,6.71,NA,NA,NA,NA,NA,NA,NA
"1325",2012-03-23,4.87323422367528,6.87,NA,NA,NA,NA,NA,NA,NA
"1326",2012-03-26,4.86992972506473,6.83,NA,NA,NA,NA,NA,NA,NA
"1327",2012-03-27,4.59281178718945,7.12,NA,NA,NA,NA,NA,NA,NA
"1328",2012-03-28,4.58066896212494,7.05,NA,NA,NA,NA,NA,NA,NA
"1329",2012-03-29,4.58038733476791,6.73,NA,NA,NA,NA,NA,NA,NA
"1330",2012-03-30,4.63389185539802,6.98,NA,NA,NA,NA,NA,NA,NA
"1331",2012-04-02,4.45296555136372,6.22,NA,NA,NA,NA,NA,NA,NA
"1332",2012-04-03,4.45820433436533,6.35,NA,NA,NA,NA,NA,NA,NA
"1333",2012-04-04,4.46594715295869,6.06,NA,NA,NA,NA,NA,NA,NA
"1334",2012-04-05,4.49662752935299,6.68,NA,NA,NA,NA,NA,NA,NA
"1335",2012-04-10,4.48877805486284,6.77,NA,NA,NA,NA,NA,NA,NA
"1336",2012-04-11,4.77826358525921,6.93,NA,NA,NA,NA,NA,NA,NA
"1337",2012-04-12,4.80980823640365,7.06,NA,NA,NA,NA,NA,NA,NA
"1338",2012-04-13,4.81647044009318,7.15,NA,NA,NA,NA,NA,NA,NA
"1339",2012-04-16,4.78184773096637,6.79,NA,NA,NA,NA,NA,NA,NA
"1340",2012-04-17,4.53834115805947,7.05,NA,NA,NA,NA,NA,NA,NA
"1341",2012-04-18,4.50870646766169,7.19,NA,NA,NA,NA,NA,NA,NA
"1342",2012-04-19,4.6508743643805,7.32,NA,NA,NA,NA,NA,NA,NA
"1343",2012-04-20,4.64712807484974,7.32,NA,NA,NA,NA,NA,NA,NA
"1344",2012-04-23,4.6356387910254,7.07,NA,NA,NA,NA,NA,NA,NA
"1345",2012-04-24,4.6279155868197,7.09,NA,NA,NA,NA,NA,NA,NA
"1346",2012-04-25,NA,7.03,NA,NA,NA,NA,NA,NA,NA
"1347",2012-04-26,4.62591747363227,7.22,NA,NA,NA,NA,NA,NA,NA
"1348",2012-04-27,4.28199081543999,7.25,NA,NA,NA,NA,NA,NA,NA
"1349",2012-04-30,4.2653149533288,7.52,NA,NA,NA,NA,NA,NA,NA
"1350",2012-05-01,4.25060062834966,NA,NA,NA,NA,NA,NA,NA,NA
"1351",2012-05-02,4.25322073599211,7.14,NA,NA,NA,NA,NA,NA,NA
"1352",2012-05-03,4.04673522789509,7.04,NA,NA,NA,NA,NA,NA,NA
"1353",2012-05-04,4.04648898624802,6.6,NA,NA,NA,NA,NA,NA,NA
"1354",2012-05-07,4.05611466910644,6.65,NA,NA,NA,NA,NA,NA,NA
"1355",2012-05-08,3.78948644879646,6.73,NA,NA,NA,NA,NA,NA,NA
"1356",2012-05-09,3.78833798036126,6.67,NA,NA,NA,NA,NA,NA,NA
"1357",2012-05-10,3.78787878787879,6.66,NA,NA,NA,NA,NA,NA,NA
"1358",2012-05-11,3.78948644879646,6.75,NA,NA,NA,NA,NA,NA,NA
"1359",2012-05-14,3.8232795242141,6.59,NA,NA,NA,NA,NA,NA,NA
"1360",2012-05-15,3.8082572689355,6.45,NA,NA,NA,NA,NA,NA,NA
"1361",2012-05-16,3.78856215046004,6.49,NA,NA,NA,NA,NA,NA,NA
"1362",2012-05-17,3.8271456123433,NA,NA,NA,NA,NA,NA,NA,NA
"1363",2012-05-18,3.76095711916607,6.37,NA,NA,NA,NA,NA,NA,NA
"1364",2012-05-21,3.79059216809933,6.61,NA,NA,NA,NA,NA,NA,NA
"1365",2012-05-22,3.77616555661275,6.89,NA,NA,NA,NA,NA,NA,NA
"1366",2012-05-23,3.79648451512615,6.69,NA,NA,NA,NA,NA,NA,NA
"1367",2012-05-24,3.82599264927397,6.79,NA,NA,NA,NA,NA,NA,NA
